age,daily_screen_time,social_media_hours,study_hours,sleep_hours,notifications_per_day,focus_score,addiction_level,productivity_score
21,5.95,2.81,2.61,6.99,283,100,50,28.49
34,3.82,2.33,0.28,7.47,266,93.65,50,18.54
29,3.57,1.64,5.21,6.34,137,100,0,68.52
25,10.27,4.37,4.28,4.49,247,94.71,50,27.82
22,2.42,1.6,3.67,6.34,28,100,0,51.09
35,6.19,2.19,7.26,4.41,218,100,50,67.38
21,3.68,1.23,1.34,7.41,296,100,0,37.22
33,10.79,5.65,0.08,7.95,148,83.64,100,0
37,7.57,5.54,0.59,8.81,81,94.43,100,0
25,4.31,2.73,1.79,4.74,21,100,50,41.86
25,7.02,3.89,0.27,6.66,191,93.1,,3.38
38,9.31,5.95,4.02,6.84,264,88.88,100,16.42
35,11.58,6.01,2.51,8.61,107,100,100,9.91
18,4.2,3.62,1.44,7.14,102,100,50,8.89
22,10.86,3.62,6,4.73,24,100,50,53.49
38,11.34,7.98,1.64,6.18,58,77.17,,0
17,11.16,9.32,5.5,7.27,94,99.17,100,18.36
36,8.35,6.53,2.79,7.5,120,98.15,100,0
35,8.3,3.41,4.09,8.32,160,100,50,37.84
16,6.03,2.88,7.47,4.9,112,100,50,75.4
38,9.52,6.95,0.3,8.76,138,84.05,100,0
26,7.31,2.56,4,4.3,128,100,50,46.22
20,8.77,6.9,6.84,8.92,62,100,100,72.56
16,6.28,4.59,4.7,8.29,155,,50,44.39
35,9.31,6.87,2.21,7.3,236,89.12,100,3.27
15,10.24,3.69,3.18,7.67,175,100,50,24.97
26,3.46,2.53,5.44,4.36,58,100,50,28.36
36,10.33,7.31,7.13,4.21,45,89.04,100,22.73
26,7.4,5.91,0.33,4.51,51,90.6,100,0
39,10.45,3.4,0.57,4.44,65,92.02,50,20.26
,6.31,1.98,2.6,6.74,175,100,0,21.98
24,5.79,3.03,1.86,5.08,263,99.09,50,19.28
30,11.15,4.34,2.12,8.3,54,100,50,20.44
29,4.51,2.86,1.77,6.23,297,89.63,50,22.04
29,10.44,8.88,1.57,7.48,261,76.18,100,0
33,6.84,3.66,1.04,7.26,278,91.37,50,0
26,7.14,,7.47,5.6,65,100,100,64.91
37,5.08,1.52,1.15,,256,99.26,0,22.25
34,7.73,3.1,1.64,5.71,27,,50,19.19
39,,1.67,1.97,7.98,279,100,0,40.81
17,2.39,1.19,7.46,6.93,290,,0,86.78
19,4.72,3.99,6.05,5.27,63,100,50,33.71
33,2.06,0.74,6.32,,257,100,0,91.14
21,11.78,7.82,0.84,4.27,186,72.24,100,0
35,11.66,6.66,6.69,7.5,95,100,100,56.72
23,5.95,5.14,3.27,6.2,176,87.86,100,20.23
21,9.28,3.47,,7.66,220,100,50,28.79
32,5.46,2.33,4.61,8.64,253,100,50,63.06
18,8.71,,6.58,7.75,251,100,50,52.46
39,10.05,5.63,6.23,6.21,231,100,100,30.86
28,11.47,5.35,7.12,4.75,173,100,100,46.32
32,6,4.93,7.43,8.03,232,100,50,77.28
23,9.83,6.52,1.9,6.3,106,83.51,100,13.47
35,4.66,3.11,3.39,4.38,37,100,50,19.05
16,11.9,7.37,0.12,7.6,210,71.21,100,0
34,2.26,0.8,7.03,5.46,73,100,0,66.71
29,8.04,4.56,1.24,4.24,,77.53,50,0
21,8.6,7.74,6.89,8.51,61,100,100,47.42
26,8.88,7.11,2.64,6.42,249,77.29,100,11
22,3.2,2.68,2.95,5.4,249,100,50,19.43
29,11.39,9.04,0.31,7.58,201,79.51,100,0
17,3.81,1.38,2.62,8.43,160,100,0,62.43
28,8.23,3.59,7.11,4,101,100,50,52.02
31,4.23,1.28,0.2,7.44,186,100,0,18.09
18,5.07,,3.25,7.84,73,100,50,35.58
32,7.46,2.72,0.25,5.05,92,97.64,50,9.46
22,6.17,3.6,2.97,6.45,232,91.85,50,11.86
18,3.6,2.54,1.38,4.45,190,94.42,50,20.55
16,,3.06,2.02,7.73,289,95.9,50,13.22
20,6.18,4.63,7.02,8.24,238,100,50,59.65
36,9.57,8.26,3.49,4.54,155,87.1,100,0
24,10.98,3.65,2.19,8.08,54,100,50,28.65
18,2.84,0.87,4.71,7.86,165,100,0,85.26
36,5.93,4.13,1.14,5.73,202,95.81,50,0
32,3,1.42,2.08,7.45,97,100,0,33.97
26,2.17,0.98,4.37,4,272,100,0,47.52
16,8.62,4.3,1.9,8.66,255,100,50,19.59
24,8.02,3.7,5.43,6.75,96,100,50,62.35
18,3.63,2.2,3.93,7.1,92,100,,41.29
28,4.34,2.45,6.18,7.32,46,100,50,79.8
30,2.24,1.36,7.59,6.81,57,100,0,100
29,10.35,7.28,0.93,8.28,273,,100,0
22,11.75,6.25,2.68,7.05,105,100,100,10.81
28,3.35,1.51,2.56,8.54,50,100,0,44.55
37,4.31,1.72,1.21,,224,100,0,37.12
39,10.68,5.44,6.48,4.86,212,100,100,56.14
22,11.26,8.39,6.08,8.57,249,91.34,100,17.15
35,6.2,4.67,3.88,7.41,200,94.81,50,35.41
30,2.51,1.76,4.3,7.5,264,100,0,62.07
27,2.39,1.05,0.48,8.93,59,100,0,40.62
32,7.74,5.05,4.44,4.38,176,96.66,100,18.36
29,5.93,3.81,6.33,6.14,187,,50,52.2
35,2.29,1.35,4.59,5.2,177,100,0,40.13
38,7.83,4.93,2.12,7.15,149,98.21,50,11.42
39,2.11,1.26,5.34,8.03,101,100,0,89.08
27,9.87,6.31,2.89,8.83,175,94.27,100,28.36
23,5.06,3.69,4.36,6.27,194,100,50,
29,2.4,0.88,3.9,7.93,107,100,0,58.51
27,7.88,5.91,3.05,8.59,121,100,100,9.73
15,5.98,2.28,,7.42,267,100,50,62.17
39,11.74,3.99,7.07,5.21,225,100,50,38.98
21,7.44,6.59,,7.04,108,85.53,100,
23,4.75,4.15,7.47,8.85,115,100,50,68.85
38,9.09,3.06,4.09,8.94,178,100,50,58.9
15,4.71,2.67,5.61,7.21,133,100,50,50.42
26,11.04,4.55,6.84,8.43,43,100,50,76.15
22,5.75,3.4,3.74,5,182,97.4,50,21.47
38,7.5,5.99,6.68,5.23,74,100,100,54.84
25,2.51,2.18,1.42,8.76,83,100,50,32.06
33,6.26,4.26,1.27,4.68,52,100,50,0
31,10.32,5.29,5.26,4.96,65,100,100,25.63
22,10.06,6.66,6.96,6.1,238,97.58,100,32.39
17,4.24,2.07,7.14,6.95,215,100,50,84.02
17,4.26,3.6,5.15,7.02,272,100,50,52.51
,10.17,8.36,4.2,5.46,255,81.79,100,0
19,11.3,7.17,2.65,8.6,,98.2,100,0
